Questions,Answers
"Something happened this summer that I cannot forgive myself for. When I think about what happened, I feel ashamed and guilty even though my loved ones forgave me.","Hello, and thank you for your question. Guilt is one of those things that nearly everyone has experienced at one time or another, and it can feel like a huge weight around your neck. Unfortunately, it is unlikely that we can give you some words of wisdom that will make it all go away. However, I will give you some ideas and hopefully this will help.One of the things that we know about guilt is that it doesn't usually do much to help us in the long-run. People may make changes for a short-term period of time because they feel guilty about something they did, but usually they will go back to their old behaviors if they don't have something else to help them change permanently, such as a new skill. So, guilt doesn't necessarily help us. In fact, as I write this someone out there is eating an entire key lime pie because they feel guilty about falling off their diet. Someone may be drinking alcohol because they feel guilty about drinking alcohol. For whatever reason, this is just a common thing that we do. Now accountability is different than guilt. Accountability can actually be constructive.  When you hold yourself accountable you can admit that you have done something wrong. That it hurt others and you deeply regret it. That you are prepared to take steps to make sure it doesn't happen again. That you have done what you can to make amends, if necessary. That you are sorry. And then you move on. Why is moving on necessary? Well, for one thing, it doesn't usually help the people who you hurt. In fact, someone's guilty behavior may serve to remind the people who were hurt, over and over again, about what happened. Guilt is usually 100% about us, and not about those we hurt. Also, guilt can lead us to behave in ways that may even hurt people more. Having said all of that, guilt is a normal human emotion. Sometimes we experience it for a while and it goes away. Sometimes we need help to work through it. There are many self-help books about forgiving yourself. You can try Amazon to find some, or consider getting help from a counselor. Be well,Robin Landwehr, DBH, LPC, NCC"
"I constantly feel like everyone is up against me and trying their best to shut me down. It's ruining my mood and even my whole self. I have trouble sleeping, and I keep having sleep paralysis while dreaming of others mocking and judging me.","The problem you describe sounds very wearing on your spirit.Are there particular reasons for why you feel everyone hates you?Have you been in a clash of ideas or opinions and feel yourself in the minority viewpoint?Or does your sense of being shut out start within your own mind, as though you anticipate that others will not like what you say?If actual conversations are leading you to feel left out, then evaluate whether to bring up certain points to the other person.Or, you may also decide that the relationships in which you feel shut out, are no longer worthwhile ones for you.If the problem is hesitating to interact because you imagine others will reject you, then maybe you can coach yourself into trying a small step toward introducing yourself and your thoughts to others."
"I feel so irritated and frustrated because of it. I get so angry to the point that I feel like I'm going to explode. I feel pathetic, stupid, and worthless. I just can't take this anymore.","Yeah I get the same problem... Look I'm not a professional but I've heard a few things. a powernap can help. just a half hour of sleep can clear your mind and let you refocus. Also, brain activity increases with physical exertion. Just walk around for a minute and get your brain working and that'll help you reach the task at hand. Taking breaks it totally okay. Try to have something to do in between that you enjoy."
I've been with the mother of my child for years.,I would think that you hold little self worth and feel that you are not worthy of better.  I would suggest that you get to know yourself.   What do you NEED in a relationship?  What is holding you to this relationship other than your child?  What have gone on in the relationship that makes you think or feel you deserve such disrespect?  Just a few questions to ask yourself..
"I have been in a relationship with my boyfriend for about six years now. In the past, our relationship was difficult and frustrating. We argued a lot, and due to that, there was a lot of tension between us. We stayed together because we love each other and wanted to make it work. I used to party a lot, and several times I got into situations where I would end up kissing someone else. These situations were never more than just kissing. I have come clean about these situations with my boyfriend, and he decided to forgive and move forward with me. I love him so much and want to work things out too, but I'm having a difficult time understanding how he can forgive me. I can't seem to forgive myself. I'm overwhelmed with feelings of guilt and unworthiness.","Hi Cerritos,This is an interesting twist because it's more common for the person in your position to want to move forward, and for the person who was wronged to struggle with forgiveness. You are lucky to have a loving, compassionate partner, and your boyfriend is lucky to have a partner who takes full responsibility for their actions. My hunch is that you learned some things about yourself when you were younger that are playing a role here. Your sense of worthlessness seems out of proportion to the mistakes you made. You don't have to be perfect in order to deserve the love of a good man. You only have to have the maturity to recognise when you've hurt someone and work hard to make it better. Who in your life overreacted to small mistakes you made? Were you shamed as a child? Did you learn that you deserved to be punished? Did something bad happen that you thought was your fault? Is there a mistake you made long ago that you need forgiveness for? There is a younger person inside you waiting to be forgiven for something they weren't entirely responsible for. The bar is too high for you. If I was your therapist, I would work with you to find the source of the shame, and address that wound. If you want to move forward and be with your boyfriend, your job will be to forgive yourself. Forgiving doesn't mean ""it was okay""; forgiving simply means that it happened, that you can't erase it, and that you don't want to carry it around or punish yourself for it anymore. You have done many things here that you can feel proud of! You've 'come clean', you've been honest, you've taken responsibility for your actions, you've not tried to minimize what you did, and you've chosen to be more loyal and aware of how you impact your boyfriend. These are all things you can use to build your sense of worth. You are acting very honourably. It's time to put your past mistakes away on the shelf knowing that you've learned from them and are a better person now. It's not our mistakes...not our worst moments that define us...it's how we handle them afterwards.I wish you growth and happiness."
"When I'm not cutting, I'm drinking. When I try healthy outlets such as exercise, I end up running myself down into an asthma attack. From weapons, to words, I can't help but self harm. What am I supposed to do, how do I stop this cycle? I don't know how else to cope or motivate myself without pain.","It sounds like you are feeling helpless and out of control, you are concerned about your behavior, and at the same time you feel compelled to continue it. In working with a therapist, you may be able to get insight into what is motivating these behaviors, develop strategies for taking care of yourself, and get a stronger sense of who you are motivated to be when you are your authentic self."
"I'm in my late 20s, and I've never had a boyfriend or even been on a date. I have no friends. I hate Facebook because everyone else has kids and a great husband and great paying jobs. I work in retail, and I can't find a job. I have an Associate degree. No one is not giving me a chance, and I'm getting upset and frustrated. I feel worthless and feel like everyone hates me. I feel like a failure, and I still live with my Dad. It's very embarrassing!","In case knowing this helps you, there are many more people in similar circumstance as you than you may realize.Similar to you, they are not on FB for the reasons you list.  Plus, no one wants to go on FB and tell the world they don't have a fantastic life.  Everyone on FB is happy, even when they're miserable they're happy telling everyone about it.First, yes it is painful to see all around you what appears as joyful living.  Please keep in mind that the life you imagine these people have, is not necessarily the true life they are having.  I've been a therapist for a long time and have seen repeatedly how people who are married with kids by age 30, start having problems by their mid-thirties.Second, respect your unique identity.  For whatever reason, you have more sensitivity, possibly more depth, more complex standards and expectations, of yourself and others.As hard as it may sound or actually be, take time to hear your intuition and what it tells you, you need for your own growth and development.Feeling embarrassed can also be turned into a positive.  Consider it as motivation for the long term to develop new ways of reaching your goals.I hope this helps!"
"It's been almost a year since my ex-boyfriend broke up with me after he cheated on me many times. I had found out about a month before, but I hadn't told him I knew because I didn't want us to break up. I used to have very low self-esteem, and I think it might have to do with my dad being an alcoholic. My father cheated on my mother when I was little. I wonder if this pain has to do with that. My ex-boyfriend and I were only dating for five months, but I still can't get over this betrayal. I'm not sure what to feel to get over it: forgiveness? Hate? He helped me financially after our break up by lending me $3000, so I'm grateful for that. I still hate him for what he did and still want him to like me although we're not even talking anymore. We follow each other on Instagram and that's it. I feel like I still need his validation. This is haunting me day and night. I want to focus on my new relationship and goals, but I keep obsessing over this and keep checking my ex-boyfriend's Instagram and Facebook. I feel so bad and keep having nightmares.","The dilemmas you present are giving you a great chance to understand your true reasons for being in a relationship.Continue developing some points you've written here.That you grew up sensing and/or witnessing your mom's emotional pain from your dad cheating on her, very likely set a standard in your inner self, to expect similar circumstances in your relationship life.This is a natural dynamic which happens for all of us.  What we observe in our growing up households is what we understand as ""normal"", no matter how bad it actually is.After all, children don't have the ability to separate that what their own parents do, is wrong compared with the rest of our culture.It is natural to long for a relationship.What you have the chance to do now, is distinguish the reasons for your longing.Is it to attach to someone who has hurt you, hasn't shown you any understanding of having hurt you, and whose validation, even if he says validating words, has little meaning because people who validate are not the ones who harm us?If you're able to teach yourself that those who love us do not harm us, and to develop new expectations for yourself of feeling good from how your partner treats you, then you will be showing yourself a road that will benefit you for your entire lifetime."
"I'm in my early 20s. I’ve been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself.","Sounds as though you're taking the blame for the bad actions of your former husband.He did an ugly action, and instead of feeling only your own emotions in response to being cheated on, you are holding his ugly behavior within you and feeling it.Does this sound like a possible explanation of why your feeling of ugliness started after the cheating incident?You may start feeling better by looking within your own heart for the full effects of having been hurt.  It is possible there is more suffering within you than you've realized until now.As you address all the emotional pain you've lived through, the feeling of ugliness may drop out all of its own. Because you'd be focused on you, not on any of the ugliness introduced into your life by your cheating ex husband."
"I'm scared that I am with this man so I won't be alone. He should be with somebody who deserves him if this is the case, and I don’t want to hurt him.","While not wanting to be alone may not be the best reason to be in a relationship, it is probably more common and normal a reason than you think.  Since you seem to care about your friend (""don't want to hurt him""), I imagine there are many other reasons that you are together.  I suggest that you talk about this open-heartedly with each other.  The idea of being afraid of being alone sounds like an honest starting place.  Don't try to ""figure out"" whether you should be with him.  Just talk.  The communication is likely to shine light on deepening connection for BOTH OF YOU.In the meantime, your idea that you don't deserve him is rooted in a ""core lie"" that you are telling yourself.  You can read about ""core lies"" and much more in my book, Living Yes, a Handbook for Being Human.  Check out www.LivingYes.org.Be easy on yourself.  You are deserving!~Mark"
"I like getting attention from men. I don't have sex. I lead them on to thinking I might want to. I like to tease, I like for men to chase me, and I like to feel wanted.","Hi Michigan, Good for you for recognising a destructive pattern. This behaviour, although it might get you the attention you want initially, will ultimately drive men away because it's not respectful of them. My gut says that you learned early on in life that your value is in your sexuality alone. That's a powerful thought. You are certainly acting as if this is true. If you believed in your value as a person, you would be less afraid of deeper relationships and intimacy in general. If I were your therapist, I'd have many questions for you and I would need to understand a lot of things about you and your past to help you sort out where this idea about yourself came from. I'd suggest reaching out to a qualified therapist who can help you get to the root of this behaviour. Good luck!"
"Everyone around me is much smarter and flaunts it. Everyone around me is skinny, and here I am trying to throw up so I'm not fat. Everything I do is wrong, and I can't seem to do anything right! No one else at school seems to feel the way I do! Is this normal teenage girls feelings? I don't think these feelings are normal.","There are some struggles that are less ""obvious"" than others, an eating disorder being one of them. From just your personal experience alone you might realize how easy it may seem to keep such a secret from those around you. In the same way, there are many people who struggle secretly with this problem and not many people know or even notice. So you are definitely not alone. Low self-esteem or lack of confidence in some areas are issues that EVERY teen, in fact EVERY person, has experienced at some point. These feelings are ""normal."" It sounds, though, as if these feelings of insecurity and inadequacy have begun to consume your every day thoughts and behaviors bringing you to where you are today - comparing yourself to others, purging, and feeling extreme guilt. Sometimes it's best if we seek outside help, instead of trying to tackle problems on our own. Breaking habits that come along with an eating disorder really requires the help of a doctor, nutritionist, and a therapist who can help change your perspective from the inside out! Hope this helps!"
"I was raped by multiple men, and now I can't stand the sight of myself. I wear lingerie to get my self excited enough to have sex with my wife.","Hello Utah, thank you for writing with your question. Sexual assault or sexual abuse is a very traumatic event that affects victims in many ways. Your difficulty in feeling sexually engaged and your description of the shame and self-loathing you feel are normal responses to the rapes you experienced. A good therapist can help you to process your traumas and understand that you did nothing wrong to cause the rapes; the shame is not yours. It takes a very patient and loving partner, but you can make progress towards a healthier sexual relationship with your wife. These are issues that I cannot address more fully here other than to recommend that you seek the assistance of a qualified professional."
"I found messages between my boyfriend and this girl on social media. He was asking her for naked pictures and then hung out with her once, but nothing happened. I didn’t find out about the messages until last month and that was six months after it happened. I can’t trust him anymore and I'm just wondering if I ever will. He admitted that he wanted to have sex with her but he didn't. He was only talking with her because he thought we were going to have a break up. My heart is completely broken. I feel like I'm in competition with every girl on the planet for my boyfriend’s affection. I'm afraid that he doesn't like me anymore, but without me he's homeless and without a car. I love him so much. It's been tearing me apart. I don't feel pretty anymore though. I don't feel good enough for anyone or anything. I thought I knew him as well as I knew myself. Then all of a sudden my world was flipped upside down. I'm still trying to figure out which way is up.","I'm sorry for so much stress in your relationship life.In what ways does your boyfriend express his commitment and positive feelings about you, to you?From what you write, you feel more aggravation, stress, loneliness and insecurity, than satisfaction by being in this relationship.Does he care that you don't trust him?Very often people stay in relationships from fear of knowing who they really are.  The feeling is of needing a partner in a way that is similar to how a fearful child needs staying nearby a parent.My suggestion is to think over how much your sense of need for a partner, may be preventing you from actually seeing the amount of love and investment in your relationship, your boyfriend actually has.These realizations are sometimes painful and frightening to understand, especially if you grew up in a family that largely ignored or didn't adequately nurture you as a child.A therapist for your Self may be a good investment of time and cost in giving yourself a safe and trustworthy space to think deeply about your best interest."
I'm going through a majorly bad divorce and my wife is making things so impossible for me. I need help.,"Crying due to a dissolution of a marriage, is normal.  Hating yourself may be a sign of extreme sadness, feelings of loss and uncertainty.Do you know why you hate yourself? Discovering your reason is the first step in knowing the obstacles and then the additional steps possible, to move from ""hate"" to ""self-love"".Divorce signals a loss of familiar life structure and daily routines.   As with any meaningful loss, crying is part of mourning what is soon to be gone.If you have confidence in your attorney's handling of the legal areas related to the divorce, and the ""impossible"" you reference is on facing and coming to terms with statements and behaviors from your wife that you never noticed before, then your best choice is to find a therapist whom you feel at ease in talking with, to sort through the emotional upheaval within yourself and your everyday life and world.Divorce is a wonderful time for learning about ones own emotional needs and expectations in relationships since these are the areas currently coming apart.The good news behind losing something that seems valuable, is that new space becomes open to attract what is more suitable for who you are."
"About 5 months ago my ex left without fully explaining why. For me it seemed out of the blue. I don't miss her as much as I used to but I just don't trust people anymore, not even my friends who I have known since my childhood not even my family. I'm so terrified of being judged or dismissed. Instead of acting like someone else or putting on a mask of a personality, I've just shut down. I haven't felt that sense of comfort and happiness with myself since everything fell apart. I'm scared to because I don't want it to be taken away from me again. I feel like ever lesson I learn only last a day. I just don't know what to do. I'm working at a place I know I should enjoy. I'm keeping up with my creative passions: working out, eating healthy, etc. I'm doing everything the books say I should do, but I don't feel any different. I just don't know what to do.","since you realize your sense of trust was broken, withdrawing from close relationships, makes sense.This may be your Self giving you natural time to recuperate from emotional pain.Also it is your chance to think over how to handle yourself differently in future relationships.Maybe this process requires more time than you'd like.Having patience is very difficult when a person feels hurt.A therapist of your own may be a good idea so you have someone for guidance and to chart your progress w you.This may feel less lonely and help you tolerate the waiting period till you're better"
I feel like I have to be promiscuous in order to keep people around? It started after I got raped by my ex-boyfriend.,"I recommend that you seek professional services to address the trauma you experienced. EMDR has been proven to be very effective in treating trauma. In addition, a support group might be helpful to find a more stable support network. Either a support group for victims of rape or sex/love addiction www.sa.org sound appropriate. Whichever group resonates the most with you will be the most helpful. If you have any additional questions or concerns, please feel free to ask."
"I keep hearing I am attractive from people around me, and I think I believe it. But I have low confidence regarding approaching girls I like.","I recommend that you focus on the negative thoughts or irrational beliefs that are going through your mind at the time in which you are trying to approach a girl. When you are aware of the negative thoughts or irrational beliefs, you can then work on changing them. An easy way to recognize an irrational belief is a thought that contains the words ""must or never."" Once you recognize the thought or belief, I would like you to picture a big red stop sign. This is called thought stopping. This is a technique to use to stop unwanted or unhealthy thoughts. Then, I would like you to think of a more positive thought to replace it with such as: Negative thought: ""That girl will never go out with me"" STOP Positive thought: ""I won't know if she will go out with me unless I ask"". What this does is increase your self confidence by replacing your negative thoughts with positive ones that will ultimately boost your self esteem."
"A few nights ago I talked to this girl I know about my self esteem issues for the first time. We talked for hours and she told me time and again that I was a great guy. She told me I was attractive, and have a great personality, etc. I really started to feel better about myself by the time I woke up the next morning. Now, though, I can't stop thinking about her, but I leave to go back to college in a few days and I go to school 4 hours away from her. So now I feel constantly depressed because even if I told her how I felt it wouldn't matter. I feel helpless and I don't know what to do.","Hey!  It takes a lot of courage to share your feelings with someone!  And it sounds like you have been lucky to meet someone who makes you feel safe enough to explore some of your more painful feelings.  A big part of the process, however, of strengthening your self-concept is learning how to tell yourself those positive messages that you heard from your friend!  Leaving for college may also be contributing to your feelings of unsteadiness.  Try this - Make a list of all of the positive things that you know are true about yourself.  Ask your friends and family to contribute to the list.  Then carry it with you in your wallet - and when you need a self-esteem boost, take a look at it!  You are in a season of life that presents lots of challenges and opportunities.  Reach out to your long-distance friend when you need support - and take a walk over to the campus counseling center and check out what they might have to offer.  Be Wise!"
I have been having horrendous nightmares this whole month.,"There's a narrative approach that we call nightmare ""rescripting"" that may be helpful.Since we can't really control the nature of our dreams while they're happening, we try to alter them while we are in a waking state.  In a nutshell, this refers to first writing out in detail the events of a recurring nightmare you have. Typically, there is an element of fear, danger or helplessness.Second, we rescript the nightmare by changing what happens in the dream in a way that engenders feelings of empowerment, control, competence, and/or safety. In other words, if the nightmare involved being pursued or assaulted, we might change the events of the story so that you call the police, get to a place of safety, or even fight back and protect yourself.Third, you can reread this new version of the dream over and over again, so that it becomes a well rehearsed story. The effect of this can make it so that the next time your mind goes towards the nightmare while sleeping, this new, more hopeful and empowering story competes with the old one and reduces the level of distress associated with the dream. Best of luck!"
"I get an uncontrollable swallowing that is repetitive and then somewhat out of body feeling that lasts no more than a minute or two. It usually happens in bed at night, but I occasionally experience this during the day. I have a benign brain tumor, but the doctor said it is not associated with this.","I'm not entirely sure whether this relates to something in the mental health realm or if there is something else happening. I know you said that your doctor said it is not related to your physical condition, but have you tried speaking with your primary care physician? I've seen people with many different symptoms that end up being related to acid reflux or something of that nature. As far as the out of body experience, there are different stages of sleep, so if this is happening in the middle of the night and you are waking up from a dream, you may not be fully awake when it's going on. These are just some thoughts, but I think talking to your primary care physician would be a great place to start."
Sometimes 3 times a night.,"Perhaps more dreaming means that you are making use of your mind to solve problems.  I find that change states, while sometimes difficult, are very exciting.  They give you opportunity to grow more rapidly.  So I say: ""congratulations!""  ~Mark (www.MarkMorrisLCSW.com and www.LivingYes.org)"
"These ""jokes"" are made about everything. They seem to have the need to say something ""funny"" about everything. It's not funny, just awkward.","I agree, it is awkward when people make jokes about subjects which may not be funny at all.  And, if a person only jokes, then after laughing and realizing the person has nothing of themselves to offer, this can also be quite tedious.Realize that you are more aware of human interaction having many levels of expression.  You could start avoiding people who irritate you by the way they behave."
"My best friend and I were pranking her friend, and I told her to tell him that she likes him. She said no, but I forced her. After she told him, he told her that he likes her too. Their friendship is ruined because of me. She won't forgive me, and I feel really guilty. I feel like crying.","In order for your friend to forgive you she'd need to trust you understand the damage you introduced into her relationship with her friend.Its possible if you offer your friend expressions of your empathy toward her  over an extended time, possibly she'll forgive you.You're certainly learning relationship lessons on how to treat people and the effect of betraying another person, which will last forever.Maybe this was meant to be the outcome."
"I was “mentored” by this guy for a few years spiritually. It was okay at times, but other times, it was just weird. I try not to think about it too much, but a lot of manipulation and lying happened, yet no one else really believed me when I told them. It's like he's two different people, and no one else really sees that side of him. I was blamed for a lot of our troubles, and now we don't really talk much. I'm worried because he's in a trusted position of leadership and no one suspects anything. They just think I'm attacking his character. How do I know for sure?","You may intuitively be sensing what many professionals in the social sciences and psychology have already understood.Just Google ""psychopaths and leadership"" and many articles come up about boardroom politics and that psychopaths are very successful in these roles.Theoretically, is it terrible that corporate leadership qualities match those of psychopaths?  Well, yes.  And, I consider your question as a mark of your sensitive awareness toward other people.  Being able to recognize social dynamics, is a strength that you have.Psychopaths know how to be charming and to twist words so that others believe that their own interest is the same as the psychopath's.I agree with you about not being able to change people's minds who are attached to this person's interactions.The only way you can introduce a change in the relationship system of a psychopath is that if you are aware of illegal or law breaking activity, and you have evidence of this, that you contact relevant authorities.No one is allowed to break laws, including psychopaths."
"Every time I send a message to someone or a group message on Instagram, iMessage, or snapchat people will read my messages but then they won't answer me.    Could it be that there is something they don't like about me? I don't understand why they won't answer my messages. How do I get people to respond to me?","I understand the feeling of not being liked due to not having any responses on the sites you list.More than likely the non-response has less to do with liking you than w liking the way you write your messages.Have you tried asking a question in your posts?  This would be one way to invite people to answer your post.When you write,  imagine yourself as the reader of the post.If you think about the wording of a question which would motivate you to respond, then this formula will very likely be the same for many others who read your post.Good luck!"
"She mostly targets me on social media. The bullying used to be much worse, but it is still going on. The comments are so vague, but I know that they are meant for me. Even when I confront her, she messages me short phrases to try to get in my head. If I try to fight back, she will ruin me.","Sorry to hear of your problem situation.  Feeling intimidated by another person is very unsettling.Stop having contact with the person.Bullies only interact with others either by intimidating someone or by themselves feeling intimidated by someone.Bullies do not have the same dynamics as everyone else.No one can convince or persuade or talk a bully out of their behavior.The best protection for yourself, assuming you are not being physically threatened by the person, is to close contact with them.This does not take away any of the disappointment or sadness of wishing for a better relationship with the person.Until the bully wants to interact differently with others, only harm can result from contact with them.Step one is to stop the bleeding, then to assess and learn to live with not having the person in your life."
It's really hard to not have negative feelings about friends who don't put any effort into nourishing our relationship.,"One thing I would ask is ""why are you still hanging with those {friends}?"" A relationship needs to be nurtured by both parties, it is a dynamic fluctuation between two people. I would ask you to question why you continue to remain together as friends, I always believed that a relationship should emit positivity towards all parties involved, if your in a relationship that is one-sided, it is inevitable that it will start to de-compensate. Never travel with the circus, never travel with fools, everything in life should have some positive payout, will things at times be negative, of course they will, but in order to keep something or someone in your life there should be more positivity than negativity.Hope this helps, C"
I'm having problems shutting them out and putting up walls.,"It sounds like you would like to let other people get close to you and at the same time you are finding yourself compelled to keep people at a distance. Often times, when we have difficulty trusting others, it is because we have specific fears about what would happen if we get close or let our guard down. Such fears may be rooted in past experiences in relationships in which we were hurt and or disappointed. In working with a therapist, you can gain insight into what is underneath your compulsion to put walls around yourself and develop ways to form authentic, lasting, satisfying relationships with others."
"I'm having a quinceañera, and the girls don't like their dresses. They never told me, and now it's a week away. I don't know what to do.","How did you find out that the girls aren't happy with their dresses?Did you hear this directly from one of them or is this third hand information that someone else told you about one of the girls in your party?The answer matters because gossiping instead of directly telling you about a problem, is a problem in itself.I suggest a conversation with the entire group of girls in which you tell them how you actually are feeling about their opinions about the dresses.One topic you may consider bringing up is what everyone expects to get out of the party.  Are they coming because they like one another and wearing a dress in which the girl is happy, is only one way of having fun together?You may learn a great deal as to the difference in values about a quinceaña among you and your friends.I hope you'll have a fun party!"
I would like to be able to have more positive relationships in the present.,"Staying present is an attitude most of us aspire
to, and most of us have to work at it—certainly at first. I’m here to tell you
that living in the now or being mindful is a skill anyone can learn. Unfortunately,
the only way to do it is to do it. What a paradox! But there are plenty of
other skills that we are not born with: walking on stilts, riding a bike,
swimming, and driving a car are good examples. You can’t learn them by reading about
them.Having said that, I can recommend two books on
the subject: Eckhart Tolle’s The Power of
Now and David Richo’s When the Past
is Present. Richo asks that we don’t beat ourselves up about dwelling on
past events. This is nature’s way of reminding us that we have unfinished
business. But while we are attended to the wounds and confusion that litter our earlier lives, we can prepare to inhabit the expanded present that awaits us.He offers three helpful steps to making any important life
change:Step One: Hold in awareness the behavior,
belief, attitude, or characteristic you want to change in yourself and how you
want to be different. Awareness is the opposite of distraction and stuffing.Step Two: Live as if you have
already made the change. (This is hard and takes courage, but you can do it.
Ride that bike—even if for a foot or two.)Step Three: Be persistent.
(Practice, practice, practice.)Just as two-year-olds are able to walk
confidently after hundreds of hours of practice, you’ll be able to stay in the
here and now as long as you want after trying and failing many, many times."
"In this argument my friends are all against me so I'm wondering if I'm exaggerating my feelings. I feel like I'm being attacked and that is making me blow things out of proportion and taking the role of the victim, when in reality I'm the one being unreasonable and I am simply annoying my reasonable friends. Or are they really being insensitive and not respecting me in our friendship?","Conflict is a tricky beast and shows up in every one of our relationships. What I'm reading is that you find yourself in a loop of  seeking validation of your thoughts and feelings from your friends rather than validating yourself. Am I right? If you aren't validating yourself, no one else will be able to either.  Try finding a small nugget of truth in the feedback your friends give you, this will help to lower your defenses and help your friends hear what you are really sharing.  And then if you are still feeling vulnerable, share that too..."
They're calling me names like hypocrite and a baby even when they act in the same manner as I do. I'm tired of being called names. What should I do?,"It sounds like your confused as to why your friends would be calling you a hypocrite when they act in the same manner, correct? Communication is key to any relationship. I would recommend speaking with your friends face-to-face to address why they feel your behavior is concerning. In-person contact is the best method of sorting out differences considering texts, emails or any written response can be misconstrued. Be upfront with them and let them know that being accused of hypocrisy is hurtful and you feel it is unfounded. If after speaking with them you feel that they have valid reasons for the way they are feeling, maybe you can consider modifying your behavior accordingly. Especially if this friendship is valuable to you. However, make sure they are aware that there is a respectful way to address these issues and name calling is not one of them. On the other hand, if you feel that their reasons are indeed unfounded, it may be best to distance yourself from the relationship. Not all friendships are healthy ones. And it is important that you surround yourself with people who are an asset to your self esteem as opposed to those that hinder it.I hope you are able to get this matter sorted. Best of luck!"
I don't know what to say. I have never really known who I am.,"What exactly is it that you are looking for? Different people define themselves in different ways. For example, one person may define himself by his values and morals while another identifies herself by her personality and characteristics. Still, another person may define himself by his interests and hobbies. Learning who you are as a person can take time and life experience. At the same time, who you are may change according to what experiences you have had and how you have dealt with them or felt about them. Try viewing the journey of finding yourself as exciting and ongoing. Allow yourself to feel emotions and learn how they relate to the experiences you have. This may help you to know more about what you value, what you like and dislike, and what you want for yourself in life. Best of luck to you!"
"I was born a girl, but I want to be a boy. Because of my religion I can't tell my family. I know they won't accept me. What do I do?","I understand that this must be a difficult time for you with
many adjustments. If you feel comfortable enough to ask your parents to see a
Life Coach or a therapist, this may be an excellent place to start. You don’t
need to tell them the reason why maybe say that you simply need someone to talk
to for support with school or homework etc. The Life Coach or therapist would
be the optimal person to advise you on how to proceed with providing support
and guidance. There may be someone at your school whom you could talk to for
confidential support and guidance as well. Be confident in the fact that you
are not alone and there are always responsible adults available to guide you
through any difficult process you may experience in life. Talking to family
about personal issues can be difficult for anyone, even adults. I recommend
getting help from a trusted, professional adult before you decide what to do."
"My fiancé and I come from a strong Christian background but both went off the ""straight and narrow"" once before. He is having a hard time accepting my past, especially that I'm not a virgin. He has a hard time in general accepting himself and others.    His insecurities are hurting our relationship. How can I help him let go of my past and decide to live in the present?","For you and your fiance to move past this, he needs to accept you just the way you are.  Being that you mentioned that you both come from a Christian background, maybe you could start there, he needs to forgive and trust your love for him.  His insecurities stem from something bigger than you not being a virgin.  Since this is the man, you are willing to spend the rest of your life with, be patient and help him find the help he needs.  Talk about your commitment to him and reassure him that your history does not have to affect your relationship.  Lastly, Pre-Marital Counseling can help you and him to open up about other things that might affect the marriage later.God Bless You Both, Mirella~"
"Maybe this is a stupid question, but I sometimes don't know what's real or not. If feel at times like everyone's lying. How do I know if God is one of those lies?","There are an infinite number of ways to look at this. Spirituality, religion, God, higher power, and many other parts of this discussion mean different things to different people. My question for you is what does ""real"" actually mean to you? Often, the concept of God has to do with what you believe in. If you ask 1000 different people, you'll probably get almost that many different answers.Consider talking with friends or family about this. I would suggest, though, that you have the discussion initially with people who you trust and who you feel are willing to listen to your questions and beliefs and perhaps offer an opinion without trying to make you believe as they do. You may also consider speaking with a pastor or another religious figure. The local Salvation Army may have a link to a religious or spiritual person that leads nondenominational church services. There may be able to help you to sort through this if your friends and family do not provide a comfortable environment for you related to this discussion.Just a word of caution. In my experience, ideas of religion and spirituality can be lead to very deep discussions with some people who are very strongly connected to what they believe. Some people do not easily separate their own beliefs from those of others. When initiating conversations about this, try first asking whether someone would be comfortable discussing religion or spirituality. A second question may be whether it is okay with this person you are talking to if you have different beliefs or opinions.As far as whether God is real or not, consider trusting yourself and what you learn, feel, and believe as you work through this process."
"I'm a Christian teenage girl, and I have lost my virginity. My boyfriend is a Christian teenager too, but things just got out of hand between us in a sexual manner. I planned to abstain from sex but I guess I wasn't clear about this because I was also tempted and led him on. We continued to have sex. Does it mean that he isn't the one God planned for me? We're so young, but that doesn't stop me from dreaming of a potential future together. I really do feel like he is in my life for an important reason. I'm incredibly happy for I was able to escape from several abusive relationships because of him. I love him very much.","Having sex with your boyfriend is and was a mistake. Mistakes can be forgiven and you can make amends.But it is not the end of your relationship or God's will for you.Have a serious talk with your guy and get back on track with where you want to be. Talk to a counselor or your priest/pastor. Get someone to be your guide and mentor. Check in with them regularly.Getting back to square one could actually strengthen your relationship.Have a plan for the future where you will not be put into a place of temptation. Group dates, public places and no alone time where temptations might arise.Forgive yourself and move on."
